Name,Meal Type,Serving,Prep Time,Cook Time,Ingredients,Intructions,Energi_kj,Lemak_g,Protein_g,Karbohidrat_g,Kalori_kkal,Lemak Jenuh_g,Lemak Trans_g,Lemak tak Jenuh Ganda_g,Lemak tak Jenuh Tunggal_g,Kolesterol_mg,Serat_g,Gula_g,Sodium_mg,Kalium_mg
Bolu Sagon Kelapa,['Roti & Produk Panggang'],5 porsi,20 menit,35 menit,"['3 besar telur', '100 gram kelapa kering', '1 sdt baking soda', '93 gram gula pasir', '120 gram tepung terigu putih (semua keperluan)', '1 sejumput garam laut', '9 sdm minyak goreng']","['Kocok telur, gula, ovalet ¼ sdt, dan garam sejumput hingga mengembang dan berwarna pucat.', 'Masukkan kelapa parut kering, tepung terigu, dan baking powder. Aduk hingga merata.', 'Tambahkan minyak sayur dan aduk hingga tercampur rata.', 'Siapkan loyang, tataki dengan kertas baking dan diolesi mentega.', 'Tuangkan adonan ke loyang. Panggang di oven pada suhu 180 C selama 30-35 menit.', 'Angkat dan sajikan.']",2088 kj,"34,31g","7,63g","41,87g",499 kkal,"19,682g",0,"7,922g","3,531g",127mg,"3,9g","20,35g",333mg,175mg
Oatbanana Cookies,['Roti & Produk Panggang'],1 porsi,5 menit,15 menit,"['100 gram pisang', '5 gram chia seed', '70 gram oat']","['Penyetkan pisang sampai hancur.', 'Masukan oatmeal dan chiaseed.', 'Aduk lalu cetak dan panggang di suhu 200•C selama 15menit.']",1611 kj,"6,7g","13,69g","71,42g",385 kkal,"1,123g",0,"3,014g","1,663g",0mg,"11,9g","12,23g",3mg,666mg
Sup Tomat,['Sup'],1 porsi,10 menit,10 menit,"['100 gram tomat', '1 besar putih telur', '1 siung bawang putih', '1 gelas air', '200 gram tahu', '115 g royco kaldu rasa sapi', '3 g lada putih bubuk']","['Potong-potong tomat dan bawang putih lalu blender dengan air sampai halus.', 'Masak sampai mendidih lalu masukkan tahu yang sudah dipotong dadu.', 'Setelah kuah berkurang masukkan putih telur.', 'Tambahkan royco dan lada bubuk, tes rasa hingga sesuai yang diinginkan.', 'Setelah matang tambahkan daun bawang dam hidangkan.']",862 kj,"10,18g","20,61g","11,35g",206 kkal,"1,208g",0g,"3,181g","5,036g",0mg,"1,9g","3,75g",341mg,539mg
Sup Labu Telur,['Sup'],2 porsi,15 menit,30 menit,"['2 sedang telur', '1 sdt garam', '2 siung bawang putih', '160 gram labu', '1 gelas air', '5 ml minyak goreng', '40 gram tahu', '15 g bihun jagung', '4 g bumbu penyedap rasa sapi']","['Rebus bihun hingga matang, sisihkan.', 'Kupas dan bersihkan labu potong dadu, sisihkan.', 'Tumis bawang putih, masukkan telur dan aduk hingga matang.', 'Tambahkan air, masukkan lahu dan tahu.']",695 kj,"7,74g","8,24g","14,08g",166 kkal,"2,434g",0g,"1,826g","2,416g",186mg,"0,8g","2,04g",1292mg,366mg
Bihun Rebus,['Hidangan Utama'],2 porsi,5 menit,10 menit,"['1 sdm cabai merah atau rawit', '1 sdt garam', '2 siung bawang putih', '1 gelas air', '1 porsi bawang merah', '2,75 ml minyak jagung', '60 g bihun jagung', '2 g royco ayam', '3 g lada putih bubuk', '40 gram sawi hijau']","['Rebus bihun setengah matang dengan sedikit minyak.', 'Cuci dan potong bawang merah, bawang putih, cabai rawit, sawi hijau, dan seledri.', 'Oseng bawang merah, bawang putih, dan cabai rawit dengan sedikit minyak cco.', 'Tambahkan air secukupnya.', 'Bila sudah mendidih masukkan sawi hijau, dan seledri. Setelah 1 menit masukkan bihun yang sudah setengah matang.', 'Masukkan bumbu : garam, lada, dan royco secukupnya. Hidangkan.']",778 kj,"1,77g","1,38g","31,14g",186 kkal,"0,286g",0g,"0,253g","0,078g",0mg,2g,"0,84g",1460mg,126mg
Prol Tape Keju,['Roti & Produk Panggang'],16 porsi,1 jam,40 menit,"['5 besar kuning telur', '1/2 sdt garam', '1/2 sdt ekstrak vanila', '100 gram gula pasir', '50 g cheddar cheese', '400 gram tape singkong', '2 sendok makan kental manis', '70 g unsalted butter', '100 g tepung terigu cakra kembar']","['Haluskan tape, masukkan vanili, SKM.', 'Kocok 4 kuning telur dengan gula sampai larut dengan wisk, kemudian campurkan dengan adonan tape, aduk sampai rata, masukkan sedikit-sedikit tepung terigu dan butter yg sudah dilelehkan. Masukkan ke loyang yg sudah dialasi kertas roti dan dioles margarin.', 'Masukkan ke oven panggang api atas bawah 20 menit suhu 180, keluarkan oles dengan 1 butir kuning telur dan tabur keju parut. Oven lagi 30 menit.']",657 kj,"6,13g","2,85g","22,65g",157 kkal,"3,437g","0,146g","0,253g","0,661g",76mg,"0,4g","7,91g",125mg,50mg
Stim Ikan Ala Chinese,['Hidangan Utama'],1 porsi,3 menit,10 menit,"['120 gram ikan', '1/4 hot chili pepper', '1 siung bawang putih', '1/4 mangkok, dicincang daun bawang (loncang)', '0,65 g stevia sweetener', '23 g saus tiram', '15 ml kecap asin']","['Masak saos ala chinese dengan cara pertama oseng bawang putih dan jahe.', 'Tambahkan air secukupnya.', 'Tambahkan kecap asin', 'Tambahkan saos tiram.', 'Tunggu hingga mendidih.', 'Jika ikan sudah masak siram dengan saos ala chinese.', 'Tunggu hingga mendidih.', 'Stim ikan senangin dengan daun bawang, cabai merah dan cabai hijau di atasnya.']",561 kj,"1,27g","23,49g","8,14g",134 kkal,"0,259g",0,"0,502g","0,221g",70mg,1g,"1,19g",1567mg,552mg
Tumis Pakcoy,"['Makan Pagi', 'Makan Siang']",2 porsi,5 menit,5 menit,"['1 sdt bawang putih bubuk', '1 sdm cabai merah atau rawit', '1 sdt garam', '1 gelas air', '1/2 sdt, dikemas gula merah', '200 gram pakcoy', '0,5 g bawang merah goreng', '2 g royco ayam', '1,2 g lada putih bubuk']","['Masukkan semua bumbu dan air.', 'Setelah mendidih masukkan sayur masak 2menit.', 'Sajikan dalam wadah taburi bawang goreng.']",126 kj,"0,62g","1,22g","6,2g",30 kkal,"0,144g",0g,"0,261g","0,082g",0mg,"1,6g","2,86g",1456mg,193mg
Banana Oat Cake,['Roti & Produk Panggang'],2 porsi,15 menit,30 menit,"['58 gram telur', '69 gram pisang', '20 gram kacang almond', '1 lembar singles', '16 g selai kacang', '2 g classic', '52 ml low fat high calcium rasa coklat (200ml)', '50 g instant whole oats']","['Kocok telur menggunakan ballon wishk sampai berbusa, masukan kopi, selai,dan pisang yg sudah dilumatkan terlebih dahulu. Kocok sebentar.', 'Masukan oat (me: diblender) dan almond cacah aduk rata. Tuang susu aduk kembali.', 'Tuang ke loyang yg sdh dioles minyak, ratakan, beri topping keju slice.', 'Panggang di oven yg sdh dipanaskan selama 30m.']",1349 kj,"16,01g","14,4g","32,2g",322 kkal,"4,12g",0g,"1,642g","4,332g",124mg,"5,6g","8,01g",272mg,282mg
Pan Sarden Pizza,"['Makanan Pembuka', 'Hidangan Utama']",1 porsi,10 menit,8 menit,"['2 siung bawang putih dimasak', '25 gram bawang bombay dimasak', '7 gram ragi', '10 gram cabai merah atau rawit', '3/4 sdt garam', '140 ml air', '7 gram gula pasir', '1 sosis ayam', '1 1/2 sdm minyak goreng', '1 sdm madu', '75 g sarden saus tomat', '10 g cheddar', '1 sendok saus sambal', '32 g smoked beef', '60 g keju mozarella', '30 ml saus tomat', '125 g tepung segitiga biru']","['Aduk air hangat, ragi, dan gula pasir hingga rata lalu diamkan hingga berbuih (2-3 menit).', 'Masukkan garam, madu, dan 1.5 sdm minyak dan aduk rata.', 'Tuang adukan ragi ke 250 gram tepung terigu, aduk hingga semua meyatu.', 'Alasi permukaan meja dengan minyak. Uleni adonan hingga, tidak perlu sampai kalis.', 'Pipihkan adonan dengan rolling pin seukuran pan yang digunakan.', 'Untuk topping pizza, tumis sosis dan smoked beef yang sudah dipotong sesuai selera. Kemudian sisihkan.', 'Tumis bawang putih dan bawang bombai yang sudah diiris hingga wangi. Masukkan sarden, irisan cabai rawit, saus sambal dan saus tomat. Masak hingga mengental.', 'Panaskan teflon baru di api sedang, olesi dengan minyak lalu panggang satu sisi pizza hingga matang (agak kecoklatan di beberapa bagian).']",5205 kj,"44,59g","54,05g","159,81g",1244 kkal,"8,782g","0,08g","7,916g","3,413g",27mg,"4,7g","34,04g",3566mg,661mg
Bibimbap,"['Hidangan Utama', 'Saus dan Bumbu']",1 porsi,5 menit,45 menit,"['84 gram telur dadar atau telur orak-arik', '128 gram nasi merah', '10 gram kubis cina (bok-choy, pak-choi)', '53 gram wortel', '2 siung bawang putih', '59 gram bawang merah', '40 g saus topokki hot spicy']","['Rebus kubis, wortel, bw merah, bw putih selama 15 menit.', 'Tempatkan beras merah kukus dalam mangkuk.', 'Susun bahan yg direbus tdi di atas nasi merah.', 'Orak arik telur ,lalu letakan di atas.', 'Tambahkan saus gocujhang atau saus tteokbokki.', 'Campur semua makanan.', 'Siap disajikan.']",1833 kj,"11,72g","15,39g","67,95g",438 kkal,"3,098g",0g,"2,219g","4,324g",289mg,"4,8g","25,82g",1566mg,482mg
Smoothie Buah Naga dan Pisang,['Makan Pagi'],2 porsi,10 menit,0 menit,"['100 gram pisang', '20 g instant oatmeal', '100 gram buah naga', '130 ml susu uht low fat source of calcium']","['Bekukan pisang dan buah naga.', 'Setelah beku masukkan semua bahan² ke dalam blender lalu di blend.', 'Setelah selesai, smoothies siap dihidangkan.']",602 kj,"1,88g","4,18g","29,66g",144 kkal,"0,616g",0g,"0,404g","0,479g",2mg,3g,"14,82g",2mg,369mg
Sesame Toowoomba Pasta,"['Hidangan Utama', 'Makan Siang']",1 porsi,5 menit,5 menit,"['1 siung bawang putih dimasak', '20 gram bawang bombay dimasak', '60 g shin ramyun', '200 ml susu uht full cream (250ml)', '3 sdm roasted sesame dressing', '10 g smoked beef']","['Rebus Shin Ramyun atau mi instan lainnya hingga setengah matang.', 'Tumis bawang putih yang sudah dicincang halus hingga harum.', 'Masukkan daging lembu salai (secukup rasa) dan tumis dengan bawang.', 'Masukkan 200ml susu UHT ke tumisan.', 'Jika susu mulai mendidih masukan bumbu mi instan dan 3 sdm sesame dressing.', 'Masukan mie dan tunggu hingga susu agak meresap.', 'Jika susu mulai mengental, matikan api dan Sesame Toowoomba Pasta sudah siap disajikan.']",2460 kj,"30,61g","11,83g","57,91g",588 kkal,"10,049g",0g,"0,255g","0,35g",14mg,"0,4g","8,8g",1689mg,361mg
Ayam Saos Mentega,['Hidangan Utama'],1 porsi,30 menit,15 menit,"['200 gram daging dada ayam (ayam pedaging, dipanggang, dimasak)', '2 sdm madu', '30 ml madu', '5 ml minyak jagung', '25 g saus tiram']","['Siapkan 200 gr ayam cuci bersih  , potong sesuai selera.', 'Marinasi dengan 2 bawang puth halus , penyedam , lada , garam , saus tiram 2 sdm , madu 3 sdm , tepung maizena 1 sdm.', 'Simpan dalam kulkas selama minimal 15 menit.', 'Siapkan bumbu tumis nya , bawang bombay , minyak tropicana 1sdt ,.', 'Tumis bumbu tumis lalu masukan bumbu marinasi.']",2498 kj,"11,7g","62,51g","71,63g",597 kkal,"3,28g",0,"4,06g","2,5g",170mg,"0,2g","34,49g",983mg,548mg
Setup Roti Gandum,"['Roti & Produk Panggang', 'Makan Pagi']",4 porsi,10 menit,20 menit,"['30 gram kismis', '1 besar putih telur', '5 gram kacang almond panggang kering (tanpa tambahan garam)', '250 ml susu uht full cream (250ml)', '6 g sweetener diabtx', '350 g roti gandum']","['Campur putih telur dengan gula lalu kocok.', 'Campurkan 250ml susu UHT/Low Fat lalu aduk.', 'Potong roti gandum sesuai selera lalu masukan kedalam adonan basah lalu aduk dengan rata.', 'Tuangkan 1/2 adonan kedalam cetakan taburkan kismis sesuai selera.', 'Tuangkan sisa adonan ratakan lalu taburkan kismis & kacang Almond sesuai selera.', 'Kukus 20 menit atau sampai adonan padat (tusuk dengan tusuk gigi untuk test kepadatan).']",766 kj,"6,58g","10,4g","49,99g",183 kkal,"3,305g",0g,"0,161g","0,424g",4mg,"7,9g","7,06g",387mg,179mg
Oat Goreng Special,['Hidangan Utama'],1 porsi,15 menit,20 menit,"['1 besar telur', '14 sedang paprika merah manis', '1 sdt bawang putih bubuk', '13 gram cabai merah atau rawit', '47 gram daging dada ayam (ayam pedaging)', '47 gram brokoli', '19 gram bawang putih', '2 gram daun bawang', '14 gram sawi putih', '6 gram bawang merah', '20 g oat', '6 g saus tiram', '2 g royco ayam', '9 g lada putih bubuk', '13 gram bawang bombay', '2.5 g boncabe', '5 g pilus sapi panggang']","['Pertama haluskan bawang putih, merah, cabai diberi garam dan merica.', 'Bumbu yang sudah dihaluskan ditumis dan bawang bombay lalu masukan telur dan oat+ sayur²nya.', 'Diaduk² lalu masukan 1sdt Saori dan bumbu royco secukupnya dan tambahkan bumbu nasi goreng sajiku sejumput aja!', 'Ayam dimasak diberi bumbu bawang putih, merica , bon cabe dan ohaiong. Lalu di panggang pake telfon sampai matang.', 'Sajikan deh! Tambahkan pilus buat topping aja wkwk.']",3397 kj,"15,98g","40,91g","146,95g",812 kkal,"3,447g","0,01g","4,592g","3,392g",239mg,"40,7g","74,48g",1014mg,4266mg
Mapo Tofu,['Hidangan Utama'],4 porsi,10 menit,15 menit,"['1 sdm soy sauce', '2 tbsps olive oil', '4 siung garlic', '1/2 sedang onions', '200 gram tempeh (cooked)', '100 g jamur enoki', '65 g bakso daging sapi', '2 sdm gochujang', '200 g tahu original']","['Tumis bawang putih dan bawang bombay.', 'Masukan tempe dan bakso.', 'Masukan gochujang dan kecap.', 'Tambahkan air dan garam, tunggu sampai mendidih dan reduced.', 'Masukan tahu, masak kurang lebih 2 menit.']",1093 kj,"16,34g","18,16g","12,61g",261 kkal,"3,014g",0g,"2,046g","6,801g",0mg,1g,"2,18g",699mg,241mg
Dada Ayam Paprika,['Lauk Pauk'],1 porsi,15 menit,10 menit,"['75 gram dada ayam', '50 gram udang', '1 sejumput lada hitam', '1 sejumput garam', '1 sdm saus tiram', '50 gram brokoli', '30 gram wortel', '40 gram paprika kuning manis', '150 ml air', '1 sdt bawang putih cincang']","['Masukan air tunggu sampai mendidih.', 'Masukan bawang putih cincang.', 'Masukan dada ayam, aduk sampai mendidih.', 'Masukan sayuran dan bumbu lainya.', 'Aduk sampai matang.', 'Sajikan dengan taburan daun petersely.']",1138 kj,"7,37g","38,55g","12,69g",272 kkal,"1,908g",0g,"1,766g","2,45g",165mg,"2,7g","2,25g",1290mg,636mg
Vegan Chocolate Strawberry Banana Cake,['Roti & Produk Panggang'],8 porsi,5 menit,45 menit,"['2 sedang telur', '3 kecil pisang', '1 sdt baking soda', '1 sejumput garam laut', '200 g wholegrain rolled oats', '120 ml minyak jagung', '25 g granola chocolate vanilla', '150 ml almond milk']","['Campur semua bahan oats ( yg sudah di hancurin jdj tepung , susu almond , telur pisang , baking soda , garam himalaya , granola.', 'Granola di hancurin dulu pakek air panas.', 'Semua di mixer.', 'Lalu tambah kecetakan.', 'Cetakan di masukan ke oven suhu 210 selama 40 menit.']",1217 kj,"17,68g","6,51g","28,06g",291 kkal,"4,536g","0,008g","7,753g","2,146g",47mg,"4,2g","5,46g",208mg,150mg
Mie Shirataki Soto,['Hidangan Utama'],1 porsi,25 menit,15 menit,"['32 gram jeruk nipis', '10 gram paprika merah manis', '22 gram cabai merah atau rawit', '39 gram daging dada ayam (ayam pedaging)', '13 gram bawang putih', '39 gram sawi putih', '8 gram bawang merah', '80 g mie basah matang', '2 g royco ayam', '3 g lada putih bubuk', '15 g bumbu indomie goreng', '15 g kerupuk seblak']","['Haluskan bawang putih, merah, cabai dan tambahkan garam serta lada.', 'Masak ayam dipanggang kasih bumbu bawang putih, merica dan ohaiong. Lalu masak telur gausah pake minyak pake telfon aja.', 'Tambahkan bumbu halus dan tambahkan air jeruk nipis lalu tambahkan sayuran, shirataki, dan paprika. Kemudian tambahkan bumbu Soto Indomie secukupnya. Menyajikan.']",1284 kj,"12,68g","15,3g","34,29g",307 kkal,"0,873g","0,01g","2,021g","0,732g",23mg,"10,7g","6,7g",759mg,694mg
Omelet Tuna,['Makan Pagi'],1 porsi,5 menit,5 menit,"['30 gram ikan tuna', '1 besar telur', '50 gram bayam dimasak (dari segar)']","['Letakkan bayam di teflon. Tutup teflon.', 'Letakkan tuna diatas bayam.', 'Tuangkan telur diatasnya. Tutup teflon.', 'Balikkan dan selesai.']",527 kj,"6,37g","14,74g","2,22g",126 kkal,"1,827g",0,"1,111g","2,426g",226mg,"1,1g","0,59g",224mg,426mg
Japchae Shirataki,"['Hidangan Utama', 'Makan Siang']",4 porsi,10 menit,20 menit,"['1 sedang paprika merah manis', '1 sejumput lada hitam', '1 sdt garam', '40 gram wortel', '1 mangkok, dicincang daun bawang (loncang)', '1 sdt gula pasir', '1 sdt bawang putih cincang', '1/2 sdm kecap manis', '200 g mie basah matang', '10 g saus tiram', '20 gram jamur kancing', '10 ml pengganti kecap asin', '5,50 ml minyak goreng']","['Rebua mie shirataki sampe matang.', 'Tumis jamur dan wortel hingga masak, tambahkan garam.', 'Masukan mie yang sudah matang, aduk hingga tercampur.', 'Masukan saus yang sudah dibuat. Masak hingga saus surut.', 'Setelah surut, tambahkan paprika dan daun bawang. Aduk hingga tercampur rata.', 'Mie siap di sajikan.']",234 kj,"1,44g","1,6g","10,54g",56 kkal,"0,533g",0g,"0,215g","0,638g",0mg,"3,6g","5,06g",857mg,199mg
Pizza Oatmeal Teflon,"['Hidangan Utama', 'Makanan Ringan']",4 porsi,15 menit,30 menit,"['25 gram keju mozzarella', '40 gram daging kornet', '1 sdt, tumbuk oregano', '100 g instant oatmeal', '2 sdm saus sambal', '1/4 sedang bawang bombay']","['Uleni oatmeal dengan sedikit air.', 'Letakkan ke teflon.', 'Beri saos lalu beri toping.', 'Tambahkan oregano dan parutan mozzarella.', 'Tunggu 30 menit dgn ditutup dan api kecil.']",679 kj,"5,7g","7,12g","21,38g",162 kkal,"1,797g",0g,"0,848g","2,357g",13mg,"2,4g","2,84g",334mg,38mg
Poires Helena,['Makanan Penutup'],3 porsi,10 menit,20 menit,"['11 gram kayu manis', '3 sedang buah pir', '50 gram kacang almond', '2 1/2 gelas air', '90 gram gula pasir', '15 g saus manis cokelat pisang', '100 ml ice cream cokelat chip']","['Masukkan gula pasir dan kayu manis, tambahkan 1/2 gelas air.', 'Aduk, kemudian tambahkan 2 gelas air dan rebus 3 buah pir.', 'Tiriskan, plating buah pir kemudian tambahkan 2 scoops ice cream, tambahkan saus coklat dan beri taburan kacang almond.']",1625 kj,"12,76g","5,32g","68,87g",388 kkal,"2,681g",0,"2,103g","5,42g",0mg,"9,1g","50,12g",7mg,350mg
Bayam Jamur,['Sup'],2 porsi,5 menit,5 menit,"['1 kecil telur', '15 gram bawang putih', '80 gram bayam', '12 gram bawang merah', '103 g jamur enoki', '60 ml non fat milk']","['Iris halus bawang merah dan putih.', 'Tumis bawang merah dan putih sampai kecoklatan.', 'Masukan bayam yang sudah dicuci, aduk sebentar, tambahkan 50ml air matang.', 'Masukan telur.', 'Aduk2 sebentar sampai telur tercampur dan bayam layu.', 'Masukan jamur enoki yg sdh dicuci bersih.', 'Tambahkan susu non fat.', 'Diamkan sebentar kemudian angkat.']",347 kj,"2,04g","5,93g","10,44g",83 kkal,"0,606g",0g,"0,34g","0,712g",80mg,"2,7g","2,72g",60mg,286mg
Gyoza,['Lauk Pauk'],20 porsi,30 menit,30 menit,"['200 gram dada ayam', '20 kecil pangsit polos', '1 sdt minyak wijen', '1 sdm saus tiram', '100 gram kubis', '2 siung bawang putih', '1 mangkok daun bawang', '1 sejumput garam laut', '10 g tepung tapioka']","['Haluskan Dada ayam , tapioka , 1 butir telur , kubis , ke dalam chopper sampai halus jangan lupa di beri bumbu.', 'Isi kulit pangsit dengan isian gyoza.', 'Kukus di atas teflon selama 30 menit dengan sedikit air sambil ditutup.']",206 kj,"1,62g","3,73g","4,86g",49 kkal,"0,406g",0g,"0,431g","0,618g",9mg,"0,3g","0,66g",151mg,57mg
Cah Kangkung Ala,['Hidangan Utama'],1 porsi,10 menit,5 menit,"['1 besar telur', '5 gram cabai merah atau rawit', '2 siung bawang putih', '2 kecil bawang merah', '1 sdm minyak goreng', '59 gram kangkung']","['Panaskan minyak, masukkan bamer baput.', 'Tunggu hingga harum, masukkan kangkung dan cabe rawit.', 'Tambahkan sedikit air.', 'Tumis kangkung hingga masak dan tidak layu.']",1088 kj,"16,17g","10,04g","21,22g",260 kkal,"5,787g",0,"5,287g","3,081g",212mg,"4,6g","7,17g",118mg,683mg
Oatmeal Goreng dan Omelet,"['Hidangan Utama', 'Makan Pagi', 'Makan Siang']",1 porsi,5 menit,5 menit,"['1/4 sdm minyak nabati', '1/4 mangkok kaldu jamur', '1 besar telur dadar', '2 sdm cabai merah atau rawit', '1/2 mentimun (dengan kulit)', '2 siung bawang putih', '1 sejumput garam laut', '2 kecil bawang merah', '2 sendok makan instant oatmeal', '1/2 sedang bawang bombay']","['Sangrai oatmeal sampai kecoklatan.', 'Tumis bawang merah, beang putih, cabai, dan bawang bombay sampai layu dan harum.', 'Tuang oatmeal yg sudah di sangrai.', 'Tambah air sedikit saja.', 'Tambahkan garam+kaldu jamur secukupnya sambil diaduk.', 'Hidangkan dengan toping telur dan mentimun.']",1732 kj,"16,42g","16,4g","57,81g",414 kkal,"3,434g",0g,"5,054g","6,034g",217mg,"9,5g","12,57g",1061mg,819mg
Tahu Gejrot Cirebon,"['Makanan Ringan', 'Makan Siang']",2 porsi,5 menit,15 menit,"['6 buah tahu goreng', '3 sdt, bongkahan  gula merah', '2 sdm kecap manis', '20 g sambal pedas uleg']","['Tahu dipotong2 taruh di atas piring.', 'Ulek cabe, bawang merah, bawang putih, garam.', 'Didihkan air masukan gula jawa dan kecap sampai mendidih.', 'Siram tahu dengan larutan gula dan cabe ulek ke atas piring yg berisi tahu.']",837 kj,"8,87g","7,2g","25,47g",200 kkal,"1,638g",0g,"4,442g","1,738g",18mg,2g,"19,39g",678mg,32572mg
Gulungan Salad Daging Sapi Asap,"['Makanan Pembuka', 'Salad dan Salad Dressing']",1 porsi,5 menit,5 menit,"['1 sedang rice paper', '20 gram wortel', '20 gram mentimun (kupas)', '30 gram selada air', '50 g smoked beef', '17 g keju slice']","['Celupkan rice paper ke air hangat hingga lemas & mudah dibentuk.', 'Susun semua bahan di atas rice paper lalu gulung.', 'Salad siap disajikan.']",753 kj,"6,78g","11,72g","17,04g",180 kkal,"1,065g",0g,"0,08g","0,058g",20mg,"1,2g","2,29g",720mg,199mg
Bola Ubi Jalar,"['Makanan Penutup', 'Makanan Ringan']",32 porsi,15 menit,30 menit,"['58 gram nanas', '377 gram ubi jalar (manis)', '18 gram biji wijen kering utuh', '2 sdt fiber creme']","['Kukus ubi hingga matang.', 'Hancurkan ubi, tambahkan fiber creme.', 'Bentuk ubi dan isi dengan nanas.', 'Lapisi dengan biji wijen.']",63 kj,"0,35g","0,29g","2,86g",15 kkal,"0,104g",0g,"0,125g","0,106g",0mg,"0,5g","0,66g",7mg,44mg
Tumis Shau,['Hidangan Utama'],1 porsi,15 menit,5 menit,"['30 gram broccoli', '75 gram carrots', '1/2 tbsp sesame oil', '15 gram green snap beans', '1 sdm soy sauce (shoyu)', '1/2 sdm honey', '15 g saus tiram', '10 ml kecap pedas']","['Cuci dang potong semua sayuran.', 'Tumis bawang putih dengan minyak wijen.', 'Masukan semua sayuran dan bumbu lalu tambahkan air.', 'Siap disajikan.']",741 kj,"7,16g","3,05g","27,09g",177 kkal,"1,021g",0g,"2,957g","2,725g",0mg,"3,5g","17,01g",1602mg,414mg
Mangkuk Smoothie Hijau,['Makan Pagi'],1 porsi,15 menit,0 menit,"['50 gram semangka', '30 gram selada', '80 gram apel', '50 gram alpukat', '50 gram blewah melon', '4 gram kacang almond', '20 g gourmet blend dark chocolate & banana granola']","['Blender semua bahan kecuali kacang almond dan granola.', 'Sajikan ke dalam mangkok.', 'Letakkan kacang dan granola sebagai topping.']",1176 kj,"14,22g","5,05g","37,85g",281 kkal,"3,779g",0,"1,525g","6,214g",0mg,"8,8g","19,39g",31mg,600mg
Granola Homemade,"['Makanan Ringan', 'Makan Pagi']",10 porsi,15 menit,10 menit,"['75 gram dry roasted unsalted peanuts', '1 1/2 tbsps honey', '2 sdt extra virgin olive oil', '400 g havermout rolled oat', '45 g kurma', '75 g gula aren']","['Sangrai rolled oat, kacang tanah hingga kecoklatan.', 'Masukkan bahan2 untuk saus, olive oil,gula aren, madu, kurma.', 'Campur dengan rata siap di sajikan dengan susu atau yogurt.']",1114 kj,"8,67g","6,45g","42,4g",266 kkal,"1,212g",0,"1,272g","2,505g",0mg,"11,4g","12,36g",3mg,51mg
Bakso dan Sup Telur,['Sup'],1 porsi,2 menit,15 menit,"['1/2 slice soft silken tofu', '45 g bakso sapi', '250 ml air mineral', '50 g fish roll', '40 g telur ayam kampung', '48 g crab stick']","['Didihkan air.', 'Setelah didih masukan telur.', 'Lalu di aduk sebentar dan masukan semua bahan.', 'Tambahkan sedikit penyedap,gula,bawang putih bubuk,dan lada hitam.']",1515 kj,"14,38g","30,02g","27,84g",362 kkal,"0,15g",0g,"0,651g","0,219g",0mg,0g,"3,55g",1360mg,76mg
Chocolate Oatmeal Bars,['Makanan Ringan'],36 porsi,10 menit,10 menit,"['128 gram coklat manis atau gelap', '1 sdt ekstrak vanila', '125 gram kismis (tanpa biji)', '14 reguler/biasa marshmallow', '5 sdm mentega', '256 g rolled oats']","['Dalam panci besar, lelehkan chocolate chip, mentega ringan, dan marshmallow dengan api kecil, aduk hingga lembut.', 'Hapus dari panas;  agak dingin.  Aduk vanilla.  Aduk oat dan sisa bahan.', 'Teteskan satu sendok makan bulat ke atas kertas lilin dan bentuk menjadi lingkaran atau batang.  Tutup dan dinginkan 2 sampai 3 jam.  Diamkan pada suhu kamar sekitar 15 menit sebelum disajikan.  Simpan tertutup rapat di lemari es.  Menghasilkan sekitar 3 lusin.']",328 kj,"3,32g","1,26g","12,03g",78 kkal,"1,398g",0g,"0,476g","1,364g",0mg,"1,1g","5,51g",24mg,37mg
Bola Energi Oatmeal,['Makanan Ringan'],6 porsi,30 menit,0 menit,"['1 sdm madu', '80 g creamy peanut butter', '1/2 gelas kering rolled oats', '25 g dark chocolate 70%']","['Campurkan semua bahan dalam mangkuk kecil dan aduk hingga tercampur rata.', 'Dinginkan di lemari es selama 30 menit.', 'Gunakan sendok atau sendok makan untuk membagi campuran menjadi 6 bola secara merata.  Gunakan tangan Anda untuk membentuk bola.\n\n Nikmati sekarang dan simpan sisanya untuk nanti dengan menyimpannya dalam wadah tertutup di lemari es hingga 1 minggu.']",575 kj,"8,93g","4,8g","12,03g",138 kkal,"3,283g",0g,"0,15g","0,25g",0mg,"1,6g","4,93g",62mg,2mg
Martabak Tofu,['Makanan Pembuka'],12 porsi,5 menit,15 menit,"['1 tsp low sodium, dry beef broth, bouillon or consomme,', '1 besar egg', '1 medium carrots', '1 tsp white pepper', '2 sejumput salt', '1/2 sdm oyster sauce', '2 siung garlic', '1 mangkok, dicincang scallions or spring onions', '3/4 block regular tofu (with calcium sulfate)']","['Hancurkan tahu, parut wortel dan potong daun bawang.', 'Campurkan semua bahan dan telur aduk rata dan tambahkan bumbu-bumbu.', 'Siapkan pan panas lalu kecilkan api dan panggang bertahap.']",149 kj,"1,87g","3,17g","2,2g",36 kkal,"0,344g",0,"0,864g","0,482g",18mg,"0,5g","0,49g",61mg,83mg
